Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Д;Д 3;Глутаровый альдегид;4;л;10.0;1000.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Д;Д 4;Глутаровый альдегид;4;л;10.0;1000.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Б;Б;Глутаровый альдегид;10;л;8.0;800.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Е;Е;Глутаровый альдегид;10;л;8.0;800.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;А;А;Глутаровый альдегид;10;л;8.0;800.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Ж;Ж;Глутаровый альдегид;5;л;8.0;800.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;В;В;Глутаровый альдегид;15;л;12.0;1200.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;БП 12;БП 12;Глутаровый альдегид;12;л;12.0;1200.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;БП 13;БП 13;Глутаровый альдегид;12;л;12.0;1200.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;БП 14;БП 14;Глутаровый альдегид;12;л;12.0;1200.0;0.01;средство
11;Аэрозольная газация формалином;8;ГФ;;В;В;Формалин 37,6%;15;л;140.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Г;Г 1;Формалин 37,6%;4;л;90.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Г;Г 2;Формалин 37,6%;4;л;90.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Г;Г 3;Формалин 37,6%;4;л;90.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Г;Г 4;Формалин 37,6%;4;л;90.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Г;Г 5;Формалин 37,6%;4;л;90.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Д;Д 1;Формалин 37,6%;4;л;90.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Д;Д 2;Формалин 37,6%;4;л;90.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Д;Д 3;Формалин 37,6%;4;л;90.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Д;Д 4;Формалин 37,6%;4;л;90.0;;0.376;средство
