Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано;Подпись колонки нормы
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Г;Г 3;Глутаровый альдегид;;л;10.0;1000.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Г;Г 4;Глутаровый альдегид;;л;10.0;1000.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Г;Г 5;Глутаровый альдегид;;л;10.0;1000.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Д;Д 1;Глутаровый альдегид;;л;10.0;1000.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Д;Д 2;Глутаровый альдегид;;л;10.0;1000.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Д;Д 3;Глутаровый альдегид;;л;10.0;1000.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Д;Д 4;Глутаровый альдегид;;л;10.0;1000.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Б;Б;Глутаровый альдегид;;л;8.0;800.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Е;Е;Глутаровый альдегид;;л;8.0;800.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;А;А;Глутаровый альдегид;;л;8.0;800.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Ж;Ж;Глутаровый альдегид;;л;8.0;800.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;В;В;Глутаровый альдегид;;л;12.0;1200.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;БП 12;БП 12;Глутаровый альдегид;;л;12.0;1200.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;БП 13;БП 13;Глутаровый альдегид;;л;12.0;1200.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;БП 14;БП 14;Глутаровый альдегид;;л;12.0;1200.0;0.01;средство;Кол-во дез. Средства, 1л/м2
11;Аэрозольная газация формалином;8;ГФ;;В;В;Формалин 37,6%;;л;210.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Г;Г 1;Формалин 37,6%;;л;140.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Г;Г 2;Формалин 37,6%;;л;140.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Г;Г 3;Формалин 37,6%;;л;140.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Г;Г 4;Формалин 37,6%;;л;140.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Г;Г 5;Формалин 37,6%;;л;140.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Д;Д 1;Формалин 37,6%;;л;140.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Д;Д 2;Формалин 37,6%;;л;140.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Д;Д 3;Формалин 37,6%;;л;140.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Д;Д 4;Формалин 37,6%;;л;140.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Б;Б;Формалин 37,6%;;л;100.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Е;Е;Формалин 37,6%;;л;100.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;А;А;Формалин 37,6%;;л;100.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;Ж;Ж;Формалин 37,6%;;л;100.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;БП 12;БП 12;Формалин 37,6%;;л;230.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;БП 13;БП 13;Формалин 37,6%;;л;230.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
11;Аэрозольная газация формалином;8;ГФ;;БП 14;БП 14;Формалин 37,6%;;л;230.0;;0.376;средство;кол-во ср-ва для дезинфекции из расчта 0,03л на м3,
12;Газация ракет;7;ГГ;;Г;Г 1;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Г;Г 2;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Г;Г 3;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Г;Г 4;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Г;Г 5;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Д;Д 1;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Д;Д 2;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Д;Д 3;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Д;Д 4;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Б;Б;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Е;Е;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;А;А;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;Ж;Ж;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;В;В;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;БП 12;БП 12;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;БП 13;БП 13;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация ракет;7;ГГ;;БП 14;БП 14;Клеодезив;;шт;5.0;;;средство;Кол-во клеодезива ,шт
12;Газация птичников (подготовка);8;ПДГ;;Г;Г 1;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Г;Г 2;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Г;Г 3;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Г;Г 4;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Г;Г 5;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Д;Д 1;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Д;Д 2;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Д;Д 3;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Д;Д 4;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Б;Б;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Е;Е;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;А;А;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;Ж;Ж;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;В;В;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;БП 12;БП 12;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;БП 13;БП 13;Клеодезив;;шт;30.0;;;средство;
12;Газация птичников (подготовка);8;ПДГ;;БП 14;БП 14;Клеодезив;;шт;30.0;;;средство;
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Г;Г 1;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Г;Г 2;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Г;Г 3;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Г;Г 4;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Г;Г 5;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Д;Д 1;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Д;Д 2;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Д;Д 3;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Д;Д 4;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Б;Б;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Е;Е;Хлор ДП -2 Т;;кг;0.33;16.5;0.02;средство;Кол-во дез. раствора, гр
